season,name,team,pa,ops,woba,xwoba,wrc_plus,bb_rate,bb_rate_plus,k_rate,k_rate_plus,o_swing_rate,z_swing_rate,swing_rate,NameASCII,PlayerId,MLBAMID
2019,Paul Goldschmidt,STL,682,0.821300127,0.34572772,,116.5599749,0.114369501,129.0866778,0.243401759,111.3538767,0.3139,0.6773,0.464,Paul Goldschmidt,9218,502671
2019,Jace Peterson,BAL,108,0.598518518,0.257710903,,54.38871387,0.055555555,65.34509913,0.222222222,97.19051574,0.2953,0.6895,0.464,Jace Peterson,12325,607054
2022,Brandon Belt,SFG,298,0.675897055,0.303299372,,97.97695016,0.124161073,148.5957016,0.27181208,120.1969086,0.2493,0.7789,0.464,Brandon Belt,10264,474832
2022,Zach McKinstry,- - -,185,0.634669826,0.280143094,,79.45224138,0.086486486,103.5068376,0.281081081,124.2957155,0.3268,0.6536,0.464,Zach McKinstry,19392,656716
2023,Vinnie Pasquantino,KCR,260,0.761553761,0.326837414,,103.4018,0.096153846,114.8447042,0.119230769,51.53050527,0.3586,0.6294,0.464,Vinnie Pasquantino,27676,686469
2016,Michael Brantley,CLE,43,0.561121049,0.238439102,,39.36581251,0.069767441,86.9929029,0.139534883,67.54389429,0.2469,0.6706,0.4639,Michael Brantley,4106,488726
2017,Jason Heyward,CHC,481,0.71524872,0.310784683,,88.56357394,0.085239085,94.73883484,0.139293139,66.32154092,0.2857,0.6969,0.4639,Jason Heyward,4940,518792
2018,Deven Marrero,ARI,85,0.428657616,0.195735664,,15.14123934,0.070588235,78.65457847,0.270588235,125.4116816,0.3125,0.6929,0.4639,Deven Marrero,13325,571918
2019,Austin Hays,BAL,75,0.946862744,0.392744824,,145.7153029,0.093333333,109.7797672,0.173333333,75.8086022,0.3468,0.6356,0.4639,Austin Hays,19363,669720
2016,Carlos Pérez,LAA,291,0.568443119,0.246290687,,51.99394754,0.041237113,51.4184857,0.168384879,81.50915543,0.3293,0.6307,0.4638,Carlos Perez,10642,542208
2018,Franmil Reyes,SDP,285,0.838435168,0.359596204,,128.6967312,0.084210526,93.83353225,0.280701754,130.0990747,0.3168,0.6908,0.4638,Franmil Reyes,14566,614177
2019,AJ Reed,CHW,49,0.408627086,0.184668466,,7.542197621,0.081632653,96.0172894,0.428571428,187.4388517,0.3445,0.625,0.4638,AJ Reed,16246,607223
2021,Max Moroff,STL,16,0.125,0.054940939,,-71.08524761,0,0,0.625,280.2426669,0.2703,0.6875,0.4638,Max Moroff,14556,621559
2019,Elvis Andrus,TEX,648,0.706604937,0.299828485,,75.8305491,0.052469135,61.71481551,0.148148148,64.79367716,0.3493,0.6199,0.4636,Elvis Andrus,8709,462101
2019,Billy Hamilton,- - -,353,0.563887883,0.250944396,,49.32819074,0.090651558,105.6828939,0.246458923,108.5320453,0.2897,0.6672,0.4636,Billy Hamilton,10199,571740
2023,Jorge Polanco,MIN,343,0.788919351,0.34012746,,118.0890548,0.104956268,125.3581843,0.256559766,110.8829079,0.3147,0.6882,0.4636,Jorge Polanco,13152,593871
2016,Yonder Alonso,OAK,532,0.68300939,0.298671591,,87.09843263,0.084586466,105.4707198,0.139097744,67.33229078,0.2728,0.7062,0.4635,Yonder Alonso,2530,475174
2017,Yasmani Grandal,LAD,482,0.766596416,0.324884407,,101.7066242,0.082987551,92.23637124,0.269709543,128.4166085,0.316,0.6524,0.4635,Yasmani Grandal,11368,518735
2018,Curt Casali,CIN,156,0.804838709,0.346548944,,114.6961063,0.076923076,85.71332202,0.205128205,95.07240083,0.2727,0.6957,0.4635,Curt Casali,12510,592200
2023,Ji Hwan Bae,PIT,371,0.607572897,0.271850477,,65.9823801,0.080862533,91.76390117,0.247978436,111.1143904,0.3059,0.6825,0.4635,Ji Hwan Bae,23818,678225
